Cross Section Points:
Section_Index, Point_Index, X, Y, Z
0, 76, 0.69, 0.03, 10.98
0, 77, 1.38, 0.05, 10.91
0, 78, 2.06, 0.08, 10.81
0, 79, 2.73, 0.11, 10.65
0, 80, 3.40, 0.14, 10.46
0, 81, 4.05, 0.16, 10.23
0, 82, 4.68, 0.19, 9.95
0, 83, 5.30, 0.21, 9.64
0, 84, 5.89, 0.24, 9.29
0, 85, 6.46, 0.26, 8.90
0, 86, 7.01, 0.28, 8.48
0, 87, 7.52, 0.30, 8.02
0, 88, 8.01, 0.32, 7.53
0, 89, 8.47, 0.34, 7.01
0, 90, 8.89, 0.35, 6.47
0, 91, 9.28, 0.37, 5.89
0, 92, 9.63, 0.38, 5.30
0, 93, 9.95, 0.40, 4.68
0, 94, 10.22, 0.41, 4.05
0, 95, 10.45, 0.42, 3.40
0, 96, 10.65, 0.42, 2.74
0, 97, 10.80, 0.43, 2.06
0, 98, 10.90, 0.44, 1.38
0, 99, 10.97, 0.44, 0.69
1, 0, 10.95, 1.60, 0.00
1, 1, 10.93, 1.60, -0.69
1, 2, 10.87, 1.59, -1.38
1, 3, 10.76, 1.59, -2.06
1, 4, 10.61, 1.59, -2.74
1, 5, 10.42, 1.58, -3.40
1, 6, 10.18, 1.58, -4.05
1, 7, 9.91, 1.57, -4.69
1, 8, 9.59, 1.56, -5.30
1, 9, 9.24, 1.55, -5.90
1, 10, 8.85, 1.55, -6.47
1, 11, 8.43, 1.54, -7.02
1, 12, 7.97, 1.52, -7.54
1, 13, 7.48, 1.51, -8.03
1, 14, 6.96, 1.50, -8.48
1, 15, 6.42, 1.49, -8.91
1, 16, 5.84, 1.47, -9.30
1, 17, 5.25, 1.46, -9.65
1, 18, 4.63, 1.44, -9.96
1, 19, 4.00, 1.43, -10.24
1, 20, 3.35, 1.41, -10.47
1, 21, 2.68, 1.40, -10.66
1, 22, 2.01, 1.38, -10.82
1, 23, 1.33, 1.36, -10.92
1, 24, 0.64, 1.35, -10.99
1, 25, -0.05, 1.33, -11.01
1, 26, -0.74, 1.32, -10.99
1, 27, -1.43, 1.30, -10.92
1, 28, -2.12, 1.28, -10.82
1, 29, -2.79, 1.27, -10.66
1, 30, -3.45, 1.25, -10.47
1, 31, -4.11, 1.23, -10.24
1, 32, -4.74, 1.22, -9.96
1, 33, -5.36, 1.20, -9.65
1, 34, -5.95, 1.19, -9.30
1, 35, -6.52, 1.18, -8.91
1, 36, -7.07, 1.16, -8.48
1, 37, -7.59, 1.15, -8.03
1, 38, -8.08, 1.14, -7.54
1, 39, -8.53, 1.13, -7.02
1, 40, -8.96, 1.12, -6.47
1, 41, -9.35, 1.11, -5.90
1, 42, -9.70, 1.10, -5.30
1, 43, -10.01, 1.09, -4.69
1, 44, -10.29, 1.09, -4.05
1, 45, -10.52, 1.08, -3.40
1, 46, -10.71, 1.08, -2.74
1, 47, -10.87, 1.07, -2.06
1, 48, -10.97, 1.07, -1.38
1, 49, -11.04, 1.07, -0.69
1, 50, -11.06, 1.07, 0.00
1, 51, -11.04, 1.07, 0.69
1, 52, -10.97, 1.07, 1.38
1, 53, -10.87, 1.07, 2.06
1, 54, -10.71, 1.08, 2.74
1, 55, -10.52, 1.08, 3.40
1, 56, -10.29, 1.09, 4.05
1, 57, -10.01, 1.09, 4.69
1, 58, -9.70, 1.10, 5.30
1, 59, -9.35, 1.11, 5.90
1, 60, -8.96, 1.12, 6.47
1, 61, -8.53, 1.13, 7.02
1, 62, -8.08, 1.14, 7.54
1, 63, -7.59, 1.15, 8.03
1, 64, -7.07, 1.16, 8.48
1, 65, -6.52, 1.18, 8.91
1, 66, -5.95, 1.19, 9.30
1, 67, -5.36, 1.20, 9.65
1, 68, -4.74, 1.22, 9.96
1, 69, -4.11, 1.23, 10.24
1, 70, -3.45, 1.25, 10.47
1, 71, -2.79, 1.27, 10.66
1, 72, -2.12, 1.28, 10.82
1, 73, -1.43, 1.30, 10.92
1, 74, -0.74, 1.32, 10.99
1, 75, -0.05, 1.33, 11.01
1, 76, 0.64, 1.35, 10.99
1, 77, 1.33, 1.36, 10.92
1, 78, 2.01, 1.38, 10.82
1, 79, 2.68, 1.40, 10.66
1, 80, 3.35, 1.41, 10.47
1, 81, 4.00, 1.43, 10.24
1, 82, 4.63, 1.44, 9.96
1, 83, 5.25, 1.46, 9.65
1, 84, 5.84, 1.47, 9.30
1, 85, 6.42, 1.49, 8.91
1, 86, 6.96, 1.50, 8.48
1, 87, 7.48, 1.51, 8.03
1, 88, 7.97, 1.52, 7.54
1, 89, 8.43, 1.54, 7.02
1, 90, 8.85, 1.55, 6.47
1, 91, 9.24, 1.55, 5.90
1, 92, 9.59, 1.56, 5.30
1, 93, 9.91, 1.57, 4.69
1, 94, 10.18, 1.58, 4.05
1, 95, 10.42, 1.58, 3.40
1, 96, 10.61, 1.59, 2.74
1, 97, 10.76, 1.59, 2.06
1, 98, 10.87, 1.59, 1.38
1, 99, 10.93, 1.60, 0.69
2, 0, 10.93, 2.85, 0.00
2, 1, 10.91, 2.85, -0.69
2, 2, 10.84, 2.85, -1.38
2, 3, 10.74, 2.84, -2.06
2, 4, 10.58, 2.84, -2.74
2, 5, 10.39, 2.84, -3.40
2, 6, 10.16, 2.83, -4.06
2, 7, 9.88, 2.83, -4.69
2, 8, 9.57, 2.82, -5.31
2, 9, 9.22, 2.82, -5.90
2, 10, 8.83, 2.81, -6.47
2, 11, 8.40, 2.80, -7.02
2, 12, 7.95, 2.80, -7.54
2, 13, 7.46, 2.79, -8.03
2, 14, 6.94, 2.78, -8.49
2, 15, 6.39, 2.77, -8.91
2, 16, 5.82, 2.76, -9.30
2, 17, 5.22, 2.75, -9.65
2, 18, 4.61, 2.74, -9.97
2, 19, 3.97, 2.73, -10.24
2, 20, 3.32, 2.72, -10.48
2, 21, 2.66, 2.70, -10.67
2, 22, 1.98, 2.69, -10.82
2, 23, 1.30, 2.68, -10.93
2, 24, 0.61, 2.67, -10.99
2, 25, -0.08, 2.66, -11.02
2, 26, -0.78, 2.64, -10.99
2, 27, -1.46, 2.63, -10.93
2, 28, -2.15, 2.62, -10.82
2, 29, -2.82, 2.61, -10.67
2, 30, -3.49, 2.60, -10.48
2, 31, -4.14, 2.59, -10.24
2, 32, -4.77, 2.58, -9.97
2, 33, -5.39, 2.57, -9.65
2, 34, -5.99, 2.55, -9.30
2, 35, -6.56, 2.54, -8.91
2, 36, -7.10, 2.54, -8.49
2, 37, -7.62, 2.53, -8.03
2, 38, -8.11, 2.52, -7.54
2, 39, -8.57, 2.51, -7.02
2, 40, -8.99, 2.50, -6.47
2, 41, -9.38, 2.50, -5.90
2, 42, -9.74, 2.49, -5.31
2, 43, -10.05, 2.48, -4.69
2, 44, -10.32, 2.48, -4.06
2, 45, -10.56, 2.48, -3.40
2, 46, -10.75, 2.47, -2.74
2, 47, -10.90, 2.47, -2.06
2, 48, -11.01, 2.47, -1.38
2, 49, -11.08, 2.47, -0.69
2, 50, -11.10, 2.47, 0.00
2, 51, -11.08, 2.47, 0.69
2, 52, -11.01, 2.47, 1.38
2, 53, -10.90, 2.47, 2.06
2, 54, -10.75, 2.47, 2.74
2, 55, -10.56, 2.48, 3.40
2, 56, -10.32, 2.48, 4.06
2, 57, -10.05, 2.48, 4.69
2, 58, -9.74, 2.49, 5.31
2, 59, -9.38, 2.50, 5.90
2, 60, -8.99, 2.50, 6.47
2, 61, -8.57, 2.51, 7.02
2, 62, -8.11, 2.52, 7.54
2, 63, -7.62, 2.53, 8.03
2, 64, -7.10, 2.54, 8.49
2, 65, -6.56, 2.54, 8.91
2, 66, -5.99, 2.55, 9.30
2, 67, -5.39, 2.57, 9.65
2, 68, -4.77, 2.58, 9.97
2, 69, -4.14, 2.59, 10.24
2, 70, -3.49, 2.60, 10.48
2, 71, -2.82, 2.61, 10.67
2, 72, -2.15, 2.62, 10.82
2, 73, -1.46, 2.63, 10.93
2, 74, -0.78, 2.64, 10.99
2, 75, -0.08, 2.66, 11.02
2, 76, 0.61, 2.67, 10.99
2, 77, 1.30, 2.68, 10.93
2, 78, 1.98, 2.69, 10.82
2, 79, 2.66, 2.70, 10.67
2, 80, 3.32, 2.72, 10.48
2, 81, 3.97, 2.73, 10.24
2, 82, 4.61, 2.74, 9.97
2, 83, 5.22, 2.75, 9.65
2, 84, 5.82, 2.76, 9.30
2, 85, 6.39, 2.77, 8.91
2, 86, 6.94, 2.78, 8.49
2, 87, 7.46, 2.79, 8.03
2, 88, 7.95, 2.80, 7.54
2, 89, 8.40, 2.80, 7.02
2, 90, 8.83, 2.81, 6.47
2, 91, 9.22, 2.82, 5.90
2, 92, 9.57, 2.82, 5.31
2, 93, 9.88, 2.83, 4.69
2, 94, 10.16, 2.83, 4.06
2, 95, 10.39, 2.84, 3.40
2, 96, 10.58, 2.84, 2.74
2, 97, 10.74, 2.84, 2.06
2, 98, 10.84, 2.85, 1.38
2, 99, 10.91, 2.85, 0.69
3, 0, 10.92, 4.02, 0.00
3, 1, 10.90, 4.02, -0.69
3, 2, 10.84, 4.02, -1.38
3, 3, 10.73, 4.02, -2.06
3, 4, 10.58, 4.02, -2.74
3, 5, 10.38, 4.02, -3.40
3, 6, 10.15, 4.02, -4.06
3, 7, 9.87, 4.02, -4.69
3, 8, 9.56, 4.02, -5.31
3, 9, 9.21, 4.02, -5.90
3, 10, 8.82, 4.01, -6.48
3, 11, 8.39, 4.01, -7.02
3, 12, 7.94, 4.01, -7.54
3, 13, 7.45, 4.01, -8.03
3, 14, 6.93, 4.01, -8.49
3, 15, 6.38, 4.00, -8.91
3, 16, 5.81, 4.00, -9.30
3, 17, 5.21, 4.00, -9.66
3, 18, 4.60, 4.00, -9.97
3, 19, 3.96, 3.99, -10.24
3, 20, 3.31, 3.99, -10.48
3, 21, 2.64, 3.99, -10.67
3, 22, 1.97, 3.98, -10.82
3, 23, 1.29, 3.98, -10.93
3, 24, 0.60, 3.98, -11.00
3, 25, -0.10, 3.98, -11.02
3, 26, -0.79, 3.97, -11.00
3, 27, -1.48, 3.97, -10.93
3, 28, -2.16, 3.97, -10.82
3, 29, -2.84, 3.96, -10.67
3, 30, -3.50, 3.96, -10.48
3, 31, -4.15, 3.96, -10.24
3, 32, -4.79, 3.96, -9.97
3, 33, -5.40, 3.95, -9.66
3, 34, -6.00, 3.95, -9.30
3, 35, -6.57, 3.95, -8.91
3, 36, -7.12, 3.95, -8.49
3, 37, -7.64, 3.94, -8.03
3, 38, -8.13, 3.94, -7.54
3, 39, -8.58, 3.94, -7.02
3, 40, -9.01, 3.94, -6.48
3, 41, -9.40, 3.94, -5.90
3, 42, -9.75, 3.94, -5.31
3, 43, -10.06, 3.93, -4.69
3, 44, -10.34, 3.93, -4.06
3, 45, -10.57, 3.93, -3.40
3, 46, -10.77, 3.93, -2.74
3, 47, -10.92, 3.93, -2.06
3, 48, -11.03, 3.93, -1.38
3, 49, -11.09, 3.93, -0.69
3, 50, -11.11, 3.93, 0.00
3, 51, -11.09, 3.93, 0.69
3, 52, -11.03, 3.93, 1.38
3, 53, -10.92, 3.93, 2.06
3, 54, -10.77, 3.93, 2.74
3, 55, -10.57, 3.93, 3.40
3, 56, -10.34, 3.93, 4.06
3, 57, -10.06, 3.93, 4.69
3, 58, -9.75, 3.94, 5.31
3, 59, -9.40, 3.94, 5.90
3, 60, -9.01, 3.94, 6.48
3, 61, -8.58, 3.94, 7.02
3, 62, -8.13, 3.94, 7.54
3, 63, -7.64, 3.94, 8.03
3, 64, -7.12, 3.95, 8.49
3, 65, -6.57, 3.95, 8.91
3, 66, -6.00, 3.95, 9.30
3, 67, -5.40, 3.95, 9.66
3, 68, -4.79, 3.96, 9.97
3, 69, -4.15, 3.96, 10.24
3, 70, -3.50, 3.96, 10.48
3, 71, -2.84, 3.96, 10.67
3, 72, -2.16, 3.97, 10.82
3, 73, -1.48, 3.97, 10.93
3, 74, -0.79, 3.97, 11.00
3, 75, -0.10, 3.98, 11.02
3, 76, 0.60, 3.98, 11.00
3, 77, 1.29, 3.98, 10.93
3, 78, 1.97, 3.98, 10.82
3, 79, 2.64, 3.99, 10.67
3, 80, 3.31, 3.99, 10.48
3, 81, 3.96, 3.99, 10.24
3, 82, 4.60, 4.00, 9.97
3, 83, 5.21, 4.00, 9.66
3, 84, 5.81, 4.00, 9.30
3, 85, 6.38, 4.00, 8.91
3, 86, 6.93, 4.01, 8.49
3, 87, 7.45, 4.01, 8.03
3, 88, 7.94, 4.01, 7.54
3, 89, 8.39, 4.01, 7.02
3, 90, 8.82, 4.01, 6.48
3, 91, 9.21, 4.02, 5.90
3, 92, 9.56, 4.02, 5.31
3, 93, 9.87, 4.02, 4.69
3, 94, 10.15, 4.02, 4.06
3, 95, 10.38, 4.02, 3.40
3, 96, 10.58, 4.02, 2.74
3, 97, 10.73, 4.02, 2.06
3, 98, 10.84, 4.02, 1.38
3, 99, 10.90, 4.02, 0.69
4, 0, 10.93, 5.22, 0.00
4, 1, 10.90, 5.22, -0.69
4, 2, 10.84, 5.22, -1.38
4, 3, 10.73, 5.22, -2.06
4, 4, 10.58, 5.22, -2.74
4, 5, 10.39, 5.22, -3.40
4, 6, 10.15, 5.23, -4.06
4, 7, 9.88, 5.23, -4.69
4, 8, 9.56, 5.23, -5.31
4, 9, 9.21, 5.23, -5.90
4, 10, 8.82, 5.23, -6.48
4, 11, 8.40, 5.24, -7.02
4, 12, 7.94, 5.24, -7.54
4, 13, 7.45, 5.24, -8.03
4, 14, 6.93, 5.25, -8.49
4, 15, 6.38, 5.25, -8.91
4, 16, 5.81, 5.25, -9.30
4, 17, 5.22, 5.26, -9.65
4, 18, 4.60, 5.26, -9.97
4, 19, 3.96, 5.27, -10.24
4, 20, 3.31, 5.27, -10.48
4, 21, 2.65, 5.27, -10.67
4, 22, 1.97, 5.28, -10.82
4, 23, 1.29, 5.28, -10.93
4, 24, 0.60, 5.29, -11.00
4, 25, -0.09, 5.29, -11.02
4, 26, -0.78, 5.30, -11.00
4, 27, -1.47, 5.30, -10.93
4, 28, -2.16, 5.30, -10.82
4, 29, -2.83, 5.31, -10.67
4, 30, -3.50, 5.31, -10.48
4, 31, -4.15, 5.32, -10.24
4, 32, -4.78, 5.32, -9.97
4, 33, -5.40, 5.33, -9.65
4, 34, -5.99, 5.33, -9.30
4, 35, -6.57, 5.33, -8.91
4, 36, -7.11, 5.34, -8.49
4, 37, -7.63, 5.34, -8.03
4, 38, -8.12, 5.34, -7.54
4, 39, -8.58, 5.35, -7.02
4, 40, -9.00, 5.35, -6.48
4, 41, -9.39, 5.35, -5.90
4, 42, -9.75, 5.35, -5.31
4, 43, -10.06, 5.36, -4.69
4, 44, -10.33, 5.36, -4.06
4, 45, -10.57, 5.36, -3.40
4, 46, -10.76, 5.36, -2.74
4, 47, -10.91, 5.36, -2.06
4, 48, -11.02, 5.36, -1.38
4, 49, -11.09, 5.36, -0.69
4, 50, -11.11, 5.36, 0.00
4, 51, -11.09, 5.36, 0.69
4, 52, -11.02, 5.36, 1.38
4, 53, -10.91, 5.36, 2.06
4, 54, -10.76, 5.36, 2.74
4, 55, -10.57, 5.36, 3.40
4, 56, -10.33, 5.36, 4.06
4, 57, -10.06, 5.36, 4.69
4, 58, -9.75, 5.35, 5.31
4, 59, -9.39, 5.35, 5.90
4, 60, -9.00, 5.35, 6.48
4, 61, -8.58, 5.35, 7.02
4, 62, -8.12, 5.34, 7.54
4, 63, -7.63, 5.34, 8.03
4, 64, -7.11, 5.34, 8.49
4, 65, -6.57, 5.33, 8.91
4, 66, -5.99, 5.33, 9.30
4, 67, -5.40, 5.33, 9.65
4, 68, -4.78, 5.32, 9.97
4, 69, -4.15, 5.32, 10.24
4, 70, -3.50, 5.31, 10.48
4, 71, -2.83, 5.31, 10.67
4, 72, -2.16, 5.30, 10.82
4, 73, -1.47, 5.30, 10.93
4, 74, -0.78, 5.30, 11.00
4, 75, -0.09, 5.29, 11.02
4, 76, 0.60, 5.29, 11.00
4, 77, 1.29, 5.28, 10.93
4, 78, 1.97, 5.28, 10.82
4, 79, 2.65, 5.27, 10.67
4, 80, 3.31, 5.27, 10.48
4, 81, 3.96, 5.27, 10.24
4, 82, 4.60, 5.26, 9.97
4, 83, 5.22, 5.26, 9.65
4, 84, 5.81, 5.25, 9.30
4, 85, 6.38, 5.25, 8.91
4, 86, 6.93, 5.25, 8.49
4, 87, 7.45, 5.24, 8.03
4, 88, 7.94, 5.24, 7.54
4, 89, 8.40, 5.24, 7.02
4, 90, 8.82, 5.23, 6.48
4, 91, 9.21, 5.23, 5.90
4, 92, 9.56, 5.23, 5.31
4, 93, 9.88, 5.23, 4.69
4, 94, 10.15, 5.23, 4.06
4, 95, 10.39, 5.22, 3.40
4, 96, 10.58, 5.22, 2.74
4, 97, 10.73, 5.22, 2.06
4, 98, 10.84, 5.22, 1.38
4, 99, 10.90, 5.22, 0.69
5, 0, 10.94, 6.44, 0.00
5, 1, 10.92, 6.44, -0.69
5, 2, 10.85, 6.44, -1.38
5, 3, 10.74, 6.45, -2.06
5, 4, 10.59, 6.45, -2.74
5, 5, 10.40, 6.45, -3.40
5, 6, 10.16, 6.45, -4.05
5, 7, 9.89, 6.46, -4.69
5, 8, 9.58, 6.46, -5.31
5, 9, 9.22, 6.47, -5.90
5, 10, 8.83, 6.47, -6.47
5, 11, 8.41, 6.48, -7.02
5, 12, 7.95, 6.49, -7.54
5, 13, 7.46, 6.49, -8.03
5, 14, 6.94, 6.50, -8.49
5, 15, 6.40, 6.51, -8.91
5, 16, 5.83, 6.52, -9.30
5, 17, 5.23, 6.53, -9.65
5, 18, 4.61, 6.54, -9.97
5, 19, 3.98, 6.54, -10.24
5, 20, 3.33, 6.55, -10.48
5, 21, 2.66, 6.56, -10.67
5, 22, 1.99, 6.57, -10.82
5, 23, 1.31, 6.58, -10.93
5, 24, 0.62, 6.59, -10.99
5, 25, -0.08, 6.60, -11.01
5, 26, -0.77, 6.61, -10.99
5, 27, -1.46, 6.62, -10.93
5, 28, -2.14, 6.63, -10.82
5, 29, -2.81, 6.64, -10.67
5, 30, -3.48, 6.65, -10.48
5, 31, -4.13, 6.66, -10.24
5, 32, -4.76, 6.67, -9.97
5, 33, -5.38, 6.68, -9.65
5, 34, -5.98, 6.69, -9.30
5, 35, -6.55, 6.70, -8.91
5, 36, -7.10, 6.70, -8.49
5, 37, -7.61, 6.71, -8.03
5, 38, -8.10, 6.72, -7.54
5, 39, -8.56, 6.73, -7.02
5, 40, -8.98, 6.73, -6.47
5, 41, -9.37, 6.74, -5.90
5, 42, -9.73, 6.74, -5.31
5, 43, -10.04, 6.75, -4.69
5, 44, -10.31, 6.75, -4.05
5, 45, -10.55, 6.75, -3.40
5, 46, -10.74, 6.76, -2.74
5, 47, -10.89, 6.76, -2.06
5, 48, -11.00, 6.76, -1.38
5, 49, -11.07, 6.76, -0.69
5, 50, -11.09, 6.76, 0.00
5, 51, -11.07, 6.76, 0.69
5, 52, -11.00, 6.76, 1.38
5, 53, -10.89, 6.76, 2.06
5, 54, -10.74, 6.76, 2.74
5, 55, -10.55, 6.75, 3.40
5, 56, -10.31, 6.75, 4.05
5, 57, -10.04, 6.75, 4.69
5, 58, -9.73, 6.74, 5.31
5, 59, -9.37, 6.74, 5.90
5, 60, -8.98, 6.73, 6.47
5, 61, -8.56, 6.73, 7.02
5, 62, -8.10, 6.72, 7.54
5, 63, -7.61, 6.71, 8.03
5, 64, -7.10, 6.70, 8.49
5, 65, -6.55, 6.70, 8.91
5, 66, -5.98, 6.69, 9.30
5, 67, -5.38, 6.68, 9.65
5, 68, -4.76, 6.67, 9.97
5, 69, -4.13, 6.66, 10.24
5, 70, -3.48, 6.65, 10.48
5, 71, -2.81, 6.64, 10.67
5, 72, -2.14, 6.63, 10.82
5, 73, -1.46, 6.62, 10.93
5, 74, -0.77, 6.61, 10.99
5, 75, -0.08, 6.60, 11.01
5, 76, 0.62, 6.59, 10.99
5, 77, 1.31, 6.58, 10.93
5, 78, 1.99, 6.57, 10.82
5, 79, 2.66, 6.56, 10.67
5, 80, 3.33, 6.55, 10.48
5, 81, 3.98, 6.54, 10.24
5, 82, 4.61, 6.54, 9.97
5, 83, 5.23, 6.53, 9.65
5, 84, 5.83, 6.52, 9.30
5, 85, 6.40, 6.51, 8.91
5, 86, 6.94, 6.50, 8.49
5, 87, 7.46, 6.49, 8.03
5, 88, 7.95, 6.49, 7.54
5, 89, 8.41, 6.48, 7.02
5, 90, 8.83, 6.47, 6.47
5, 91, 9.22, 6.47, 5.90
5, 92, 9.58, 6.46, 5.31
5, 93, 9.89, 6.46, 4.69
5, 94, 10.16, 6.45, 4.05
5, 95, 10.40, 6.45, 3.40
5, 96, 10.59, 6.45, 2.74
5, 97, 10.74, 6.45, 2.06
5, 98, 10.85, 6.44, 1.38
5, 99, 10.92, 6.44, 0.69
6, 0, 10.96, 7.69, 0.00
6, 1, 10.94, 7.69, -0.69
6, 2, 10.87, 7.69, -1.38
6, 3, 10.76, 7.70, -2.06
6, 4, 10.61, 7.70, -2.74
6, 5, 10.42, 7.70, -3.40
6, 6, 10.18, 7.71, -4.05
6, 7, 9.91, 7.71, -4.69
6, 8, 9.60, 7.72, -5.30
6, 9, 9.24, 7.73, -5.90
6, 10, 8.86, 7.73, -6.47
6, 11, 8.43, 7.74, -7.02
6, 12, 7.97, 7.75, -7.54
6, 13, 7.48, 7.76, -8.03
6, 14, 6.97, 7.77, -8.48
6, 15, 6.42, 7.78, -8.91
6, 16, 5.85, 7.79, -9.30
6, 17, 5.25, 7.81, -9.65
6, 18, 4.64, 7.82, -9.96
6, 19, 4.00, 7.83, -10.24
6, 20, 3.35, 7.84, -10.47
6, 21, 2.69, 7.86, -10.66
6, 22, 2.01, 7.87, -10.81
6, 23, 1.33, 7.88, -10.92
6, 24, 0.64, 7.90, -10.99
6, 25, -0.05, 7.91, -11.01
6, 26, -0.74, 7.93, -10.99
6, 27, -1.43, 7.94, -10.92
6, 28, -2.11, 7.95, -10.81
6, 29, -2.79, 7.97, -10.66
6, 30, -3.45, 7.98, -10.47
6, 31, -4.10, 7.99, -10.24
6, 32, -4.74, 8.01, -9.96
6, 33, -5.35, 8.02, -9.65
6, 34, -5.95, 8.03, -9.30
6, 35, -6.52, 8.04, -8.91
6, 36, -7.07, 8.05, -8.48
6, 37, -7.58, 8.06, -8.03
6, 38, -8.07, 8.07, -7.54
6, 39, -8.53, 8.08, -7.02
6, 40, -8.96, 8.09, -6.47
6, 41, -9.34, 8.10, -5.90
6, 42, -9.70, 8.10, -5.30
6, 43, -10.01, 8.11, -4.69
6, 44, -10.28, 8.12, -4.05
6, 45, -10.52, 8.12, -3.40
6, 46, -10.71, 8.13, -2.74
6, 47, -10.86, 8.13, -2.06
6, 48, -10.97, 8.13, -1.38
6, 49, -11.04, 8.13, -0.69
6, 50, -11.06, 8.13, 0.00
6, 51, -11.04, 8.13, 0.69
6, 52, -10.97, 8.13, 1.38
6, 53, -10.86, 8.13, 2.06
6, 54, -10.71, 8.13, 2.74
6, 55, -10.52, 8.12, 3.40
6, 56, -10.28, 8.12, 4.05
6, 57, -10.01, 8.11, 4.69
6, 58, -9.70, 8.10, 5.30
6, 59, -9.34, 8.10, 5.90
6, 60, -8.96, 8.09, 6.47
6, 61, -8.53, 8.08, 7.02
6, 62, -8.07, 8.07, 7.54
6, 63, -7.58, 8.06, 8.03
6, 64, -7.07, 8.05, 8.48
6, 65, -6.52, 8.04, 8.91
6, 66, -5.95, 8.03, 9.30
6, 67, -5.35, 8.02, 9.65
6, 68, -4.74, 8.01, 9.96
6, 69, -4.10, 7.99, 10.24
6, 70, -3.45, 7.98, 10.47
6, 71, -2.79, 7.97, 10.66
6, 72, -2.11, 7.95, 10.81
6, 73, -1.43, 7.94, 10.92
6, 74, -0.74, 7.93, 10.99
6, 75, -0.05, 7.91, 11.01
6, 76, 0.64, 7.90, 10.99
6, 77, 1.33, 7.88, 10.92
6, 78, 2.01, 7.87, 10.81
6, 79, 2.69, 7.86, 10.66
6, 80, 3.35, 7.84, 10.47
6, 81, 4.00, 7.83, 10.24
6, 82, 4.64, 7.82, 9.96
6, 83, 5.25, 7.81, 9.65
6, 84, 5.85, 7.79, 9.30
6, 85, 6.42, 7.78, 8.91
6, 86, 6.97, 7.77, 8.48
6, 87, 7.48, 7.76, 8.03
6, 88, 7.97, 7.75, 7.54
6, 89, 8.43, 7.74, 7.02
6, 90, 8.86, 7.73, 6.47
6, 91, 9.24, 7.73, 5.90
6, 92, 9.60, 7.72, 5.30
6, 93, 9.91, 7.71, 4.69
6, 94, 10.18, 7.71, 4.05
6, 95, 10.42, 7.70, 3.40
6, 96, 10.61, 7.70, 2.74
